description,vlan,usage,iPv4_address,mac_address,port,connected_to,last_seen,location,model,code
antMiner-428,1204,59.9 MB,10.12.20.132,e2:27:34:82:54:3e,2,M12-POD4-04-sw,4/14/2022 00:39,M12-POD4-4-1-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-699,1204,47.8 MB,10.12.20.133,30:a9:9d:0b:6a:0d,14,M12-POD4-30-sw,4/14/2022 00:39,M12-POD4-30-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-569,1204,44.2 MB,10.12.20.134,06:59:54:c9:41:f6,15,M12-POD4-30-sw,4/14/2022 00:39,M12-POD4-30-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-413,1204,41.9 MB,10.12.20.135,74:9b:b2:58:89:d3,7,M12-POD4-05-sw,4/14/2022 00:39,M12-POD4-5-2-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-341,1204,47.7 MB,10.12.20.136,98:45:6b:ae:a0:8d,19,M12-POD4-06-sw,4/14/2022 00:39,M12-POD4-6-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-475,1204,44.4 MB,10.12.20.138,60:ab:ed:24:38:1f,8,M12-POD4-18-sw,4/14/2022 00:39,M12-POD4-18-2-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-260,1204,45.7 MB,10.12.20.139,6e:86:2d:b7:2b:14,18,M12-POD4-30-sw,4/14/2022 00:39,M12-POD4-30-4-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-517,1204,46.8 MB,10.12.20.140,2c:69:93:86:a8:34,16,M12-POD4-30-sw,4/14/2022 00:39,M12-POD4-30-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-297,1204,46.9 MB,10.12.20.141,16:57:74:a1:de:c7,1,M12-POD4-29-sw,4/14/2022 00:39,M12-POD4-29-1-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-316,1204,47.6 MB,10.12.20.142,d0:25:45:ca:5e:5e,19,M12-POD4-30-sw,4/14/2022 00:39,M12-POD4-30-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-398,1204,46.0 MB,10.12.20.143,3c:fd:80:a2:82:c5,17,M12-POD4-18-sw,4/14/2022 00:39,M12-POD4-18-4-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-380,1204,47.9 MB,10.12.20.144,d4:30:c3:01:ef:07,6,M12-POD4-19-sw,4/14/2022 00:39,M12-POD4-19-2-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-395,1204,44.9 MB,10.12.20.145,d0:f5:18:57:83:1f,16,M12-POD4-29-sw,4/14/2022 00:39,M12-POD4-29-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-254,1204,47.0 MB,10.12.20.148,9a:61:05:65:dd:61,19,M12-POD4-29-sw,4/14/2022 00:39,M12-POD4-29-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-533,1204,45.7 MB,10.12.20.150,6a:ab:ed:bf:67:57,13,M12-POD4-29-sw,4/14/2022 00:39,M12-POD4-29-3-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-379,1204,48.2 MB,10.12.20.151,72:9a:eb:d3:80:fc,10,M12-POD4-20-sw,4/14/2022 00:39,M12-POD4-20-2-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-481,1204,44.2 MB,10.12.20.152,02:f6:b1:cb:4d:a5,15,M12-POD4-20-sw,4/14/2022 00:39,M12-POD4-20-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-350,1204,46.1 MB,10.12.20.153,fe:5d:8e:b2:05:86,6,M12-POD4-29-sw,4/14/2022 00:39,M12-POD4-29-2-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-360,1204,46.0 MB,10.12.20.154,c0:4b:e4:09:1e:60,7,M12-POD4-29-sw,4/14/2022 00:39,M12-POD4-29-2-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-371,1204,41.1 MB,10.12.20.157,d4:fb:c2:3d:d4:91,16,M12-POD4-20-sw,4/14/2022 00:39,M12-POD4-20-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-366,1204,48.2 MB,10.12.20.158,92:3d:e0:85:33:93,6,M12-POD4-02-sw,4/14/2022 00:39,M12-POD4-2-2-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-499,1204,44.4 MB,10.12.20.159,98:05:ab:28:79:10,10,M12-POD4-29-sw,4/14/2022 00:39,M12-POD4-29-2-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-279,1204,47.5 MB,10.12.20.161,b6:bb:a2:6c:a1:27,3,M12-POD4-29-sw,4/14/2022 00:39,M12-POD4-29-1-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-359,1204,48.2 MB,10.12.20.162,f6:1e:8b:98:30:06,7,M12-POD4-21-sw,4/14/2022 00:39,M12-POD4-21-2-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-362,1204,46.3 MB,10.12.20.163,ce:af:03:38:a9:9a,12,M12-POD4-21-sw,4/14/2022 00:39,M12-POD4-21-3-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-368,1204,46.5 MB,10.12.20.164,ca:88:31:8a:ff:f8,2,M12-POD4-29-sw,4/14/2022 00:39,M12-POD4-29-1-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-411,1204,41.1 MB,10.12.20.167,72:8c:31:7c:68:58,8,M12-POD4-30-sw,4/14/2022 00:39,M12-POD4-30-2-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-489,1204,49.3 MB,10.12.20.169,42:6e:58:ec:28:95,3,M12-POD4-22-sw,4/14/2022 00:39,M12-POD4-22-1-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-622,1204,46.9 MB,10.12.20.171,e8:04:14:95:d7:5e,11,M12-POD4-29-sw,4/14/2022 00:39,M12-POD4-29-3-1,Antminer T17+ (vnish 2.0.4), T17+
